long,lat,PORT,PORT_NAME,TOTAL,DOMESTIC,FOREIGN,IMPORTS,EXPORTS,STPOSTAL,STFIPS
-157.8717,21.31111,C4420,"Honolulu, HI",14320504,13352311,968193,820821,147372,HI,15
-155.0758,19.72861,C4400,"Hilo, HI",1968047,1955780,12267,12267,0,HI,15
-87.875,37.92208,I2332,"Mount Vernon, IN",5224137,5224137,0,0,0,KY,21
-85.760993,38.26147,I2333,"Louisville, KY",6095007,6095007,0,0,0,KY,21
-84.5045,39.09403,I2335,"Cincinnati, OH",11126584,11126584,0,0,0,KY,21
-70.73806,43.07398,C0135,"Portsmouth, NH",2419435,501432,1918003,1654355,263648,ME,23
-70.25134,43.64951,C0128,"Portland, ME",12821501,1003924,11817577,11789239,28338,ME,23
-68.92497,44.45285,C0112,"Searsport, ME",1653889,266123,1387766,1387766,0,ME,23
-78.89526,42.8783,L3230,"Buffalo, NY",829610,579897,249713,249713,0,NY,36
-74.038357,40.673949,C0398,"New York, NY and NJ",132039959,45074986,86964973,62799784,24165189,NY,36
-73.67332,40.87361,I0514,"Hempstead, NY",713212,713212,0,0,0,NY,36
-73.07216,40.94881,C0522,"Port Jefferson, NY",1248798,1234469,14329,14329,0,NY,36
-73.74816,42.64271,C0505,"Albany, NY",7513815,6693945,819870,351291,468579,NY,36
-166.5417,53.89333,C4909,"Iliuliuk Harbor, AK",724253,293421,430832,198105,232727,AK,2
-151.3144,60.74793,C4831,"Nikishka, AK",3891093,3007161,883932,361135,522797,AK,2
-149.4344,60.11945,C4930,"Seward, AK",964510,69553,894957,4570,890387,AK,2
-149.895,61.23778,C4820,"Anchorage, AK",2842912,2319975,522937,507894,15043,AK,2
-146.3464,61.12473,C4816,"Valdez, AK",27899959,27893332,6627,6627,0,AK,2
-164.5389,67.71918,C4978,"Kivilina, AK",2767084,1302693,1464391,139386,1325005,AK,2
-131.65,55.34193,C4800,"Ketchikan, AK",783654,508549,275105,206709,68396,AK,2
-86.35014,43.19492,L3725,"Muskegon, MI",1689921,1531149,158772,158772,0,MI,26
-86.23557,43.06694,L3728,"Grand Haven, MI",711821,636696,75125,75125,0,MI,26
-87.024999,45.733509,L3795,"Escanaba, MI",3317748,3317748,0,0,0,MI,26
-85.86279,45.95508,L3803,"Port Inland, MI",4659091,4460395,198696,0,198696,MI,26
-84.31281,45.99139,L3627,"Port Dolomite, MI",3278847,2779547,499300,0,499300,MI,26
-87.385166,46.577367,L3845,"Presque Isle, MI",7741142,6179526,1561616,0,1561616,MI,26
-87.28703,46.51113,L3844,"Marquette, MI",2354114,2167529,186585,186585,0,MI,26
-83.390609,41.915134,L3202,"Monroe, MI",2308447,2308447,0,0,0,MI,26
-83.109586,42.269094,L3321,"Detroit, MI",12929325,10339481,2589844,2494492,95352,MI,26
-82.49413,42.82663,L3509,"St. Clair, MI",6752523,6752523,0,0,0,MI,26
-83.42227,45.0556,L3617,"Alpena, MI",2553462,2094956,458506,122964,335542,MI,26
-83.7756,45.39293,L3620,"Calcite, MI",4717946,4227700,490246,11587,478659,MI,26
-83.47031,45.28073,L3619,"Stoneport, MI",6304105,5350591,953514,14240,939274,MI,26
-83.88556,45.99245,L3813,"Drummond Island, MI",1169081,829249,339832,0,339832,MI,26
-91.126869,33.359232,I2271,"Greenville, MS",3071177,3071177,0,0,0,AR,5
-91.07121,33.77773,I2268,"Rosedale, MS",1184310,1184310,0,0,0,AR,5
-90.58323,34.52186,I2293,"Helena, AR",1979821,1979821,0,0,0,AR,5
-91.15361,32.79472,I2269,"Lake Providence, LA",732807,732807,0,0,0,MS,28
